text,image
국가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/gug_ga_001_.png
국가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/gug_ga_002_.png
긍정,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/geung_jeong_.png
기차,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/gi_ca_.png
기차,http://220.69.171.28:8080/Symbol/Symbol/gif/gi_ca_.gif
기타,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/gi_ta_.png
기호,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/gi_ho_.png
꽃,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/ggoc_.png
나,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/na_1.png
나무,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/na_mu_.png
나무,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/na_mu_201_.png
놀이,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/nol_i_001_.png
놀이,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/nol_i_002_.png
놀이,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/nol_i_003_.png
다음,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/da_eum_1.png
다음,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/da_eum_201_.png
돈,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/don_001_.png
동물,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/dong_mul_001_.png
동물,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/dong_mul_002_.png
미래,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/mi_rae_001_.png
미래,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/mi_rae_002_.png
방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/bang_1.png
배,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/bae_1.png
버스,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/beo_seu_.png
병원,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/byeong_weon_.png
부엌,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/bu_eok_1.png
부정,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/bu_jeong_.png
불교,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/bul_gyo_.png
새,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/sae_.png
새,http://220.69.171.28:8080/Symbol/Symbol/gif/sae_.gif
색,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/saeg_001_.png
색,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/saeg_002_.png
색,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/saeg_003_.png
서점,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/seo_jeom_001_.png
서점,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/seo_jeom_002_.png
숫자,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/sus_ja_001_.png
숫자,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/sus_ja_002_.png
슈퍼,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/syu_peo_001_.png
슈퍼,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/syu_peo_002_.png
시제,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/si_je_001_.png
시제,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/si_je_002_.png
식기,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/sig_gi_002_.png
약국,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/yag_gug_.png
약국,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/yag_gug_201_.png
양념,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/yang_nyeom_1.png
옷,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/os_.png
외식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/oe_sig_004_.png
외식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/oe_sig_005_.png
운동,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/un_dong_001_.png
운동,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/un_dong_002_.png
은행,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eun_haeng_001_1.png
은행,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eun_haeng_002_1.png
음료,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eum_ryo_001_.png
음료,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eum_ryo_002_.png
음식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eum_sig_001_.png
음식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eum_sig_002_.png
음악,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eum_ag_201_.png
음악,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/eum_ag_1.jpg
의문,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/yi_mun_001_.png
의문,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/yi_mun_002_.png
의문,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/yi_mun_003_.png
이전,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/i_jeon_.png
인물,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/in_mul_001_.png
인물,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/in_mul_002_.png
존대,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jon_dae_002_.png
존대,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jon_dae_001_.png
종교,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jong_gyo_1.png
지움,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/ji_um_.png
직업,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jig_eob_.png
직업,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jig_eob_201_.png
집,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jib_001_.png
집,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jib_002_.png
집,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/jib_201_.png
택시,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/taeg_si_002_1.png
택시,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/taeg_si_001_1.png
평서,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/pyeong_seo_003_.png
평서,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/pyeong_seo_001_.png
평서,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/pyeong_seo_002_.png
하대,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/ha_dae_.png
학교,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/hag_gyo_001_.png
학교,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/hag_gyo_002_.png
학교,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/hag_gyo_201_.png
현관,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/hyeon_gwan_.png
현재,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/hyeon_jae_001_.png
현재,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n2_ka_te_go_ri_/hyeon_jae_002_.png
와우,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n3_gi_bun_gam_jeong_/wa_u_201_.png
하트,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n3_gi_bun_gam_jeong_/ha_teu_201_.png
나,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/na_2.png
너,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/neo_1.png
누가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/nu_ga_001_.png
누가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/nu_ga_002_.png
누가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/nu_ga_201_.png
누구,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/nu_gu_201_.png
무엇,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/mu_eos_001_.png
무엇,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/mu_eos_002_.png
언제,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/eon_je_001_.png
언제,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/eon_je_002_.png
언제,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/eon_je_201_.png
언제,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/eon_je_202_.png
왜,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/wae_001_.png
왜,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/wae_002_.png
왜,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/wae_201_.png
응,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n4_jil_mun_dae_dab_/eung_201_.png
만세,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/man_se_001_.png
만세,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/man_se_002_.png
만세,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/man_se_201_.png
멋져,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/meos_jyeo_201_.png
뽀뽀,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/bbo_bbo_201_.png
아하,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/a_ha_001_.png
아하,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n5_in_sa_sa_hoe_eo_/a_ha_002_.png
과자,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/gwa_ja_.png
과자,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/gwa_ja_201_.png
국,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/gug_001_.png
국,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/gug_002_.png
까요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/gga_yo_.png
물,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/mul_001_1.png
물,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/mul_002_1.png
반찬,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/ban_can_001_.png
반찬,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/ban_can_002_.png
반찬,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/ban_can_201_.png
밥,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/bab_001_.png
밥,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/bab_002_.png
밥,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/bab_201_.png
수저,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/su_jeo_001_.png
수저,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/su_jeo_002_.png
식판,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/sig_pan_.jpg
알밥,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/al_bab_1.png
우유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/u_yu_001_.png
우유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/u_yu_002_.png
우유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/u_yu_003_.png
우유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/u_yu_004_.png
우유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/u_yu_201_.png
울면,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/ul_myeon_1.png
일식,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/il_sig_1.png
짜요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/jja_yo_001_.jpg
짜요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/jja_yo_201_.png
치킨,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/ci_kin_.png
치킨,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/ci_kin_201_.png
한식,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n1_zcorez_/han_sig_1.png
두유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/du_yu_001_.png
두유,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/du_yu_002_.png
따요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/dda_yo_001_1.png
따요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/dda_yo_002_1.png
따요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/dda_yo_003_.png
많이,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/manh_i_001_.png
많이,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/manh_i_002_.png
맥주,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/maeg_ju_001_.png
맥주,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/maeg_ju_002_.png
부어,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/bu_eo_201_.png
소주,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/so_ju_.png
식혜,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/sig_hye_001_.png
식혜,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/sig_hye_002_.png
얼음,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/eol_eum_.png
얼음,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/eol_eum_201_.png
