text,image,카테고리_주제,카테고리_품사
잠가주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/jam_ga_ju_se_yo_002_.png,집,동사
틀어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/teul_eo_ju_se_yo_001_.png,집,동사
틀어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/teul_eo_ju_se_yo_002_.png,집,동사
헹궈주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/heng_gweo_ju_se_yo_.png,집,동사
꺼내요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ggeo_nae_yo_002_1.png,집,동사
내려주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/nae_ryeo_ju_se_yo_001_.png,집,동사
내려주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/nae_ryeo_ju_se_yo_002_.png,집,동사
냉동시켜요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/naeng_dong_si_kyeo_yo_.png,집,동사
놓아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/noh_a_yo_002_.png,집,동사
담아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/dam_a_yo_.png,집,동사
데워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/de_weo_yo_.png,집,동사
뒤집어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/dwi_jib_eo_yo_.png,집,동사
따라주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/dda_ra_ju_se_yo_.png,집,동사
뚜껑을닫아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ddu_ggeong_eul_dad_a_yo_.png,집,동사
뚜껑을열어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ddu_ggeong_eul_yeol_eo_yo_.png,집,동사
뜨거워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ddeu_geo_weo_yo_.png,집,동사
볶아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/bogg_a_yo_.png,집,동사
삶아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/salm_a_yo_.png,집,동사
상을차려요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/sang_eul_ca_ryeo_yo_.png,집,동사
설거지해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/seol_geo_ji_hae_yo_.png,집,동사
쏟아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ssod_a_yo_.png,집,동사
엎지르다,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/eop_ji_reu_da_.png,집,동사
요리해,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/yo_ri_hae_201_.png,집,동사
요리해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/yo_ri_hae_yo_.png,집,동사
이를닦아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/i_reul_dagg_a_yo_1.png,집,동사
저어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/jeo_eo_yo_.png,집,동사
정리해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/jeong_ri_hae_yo_002_.png,집,동사
조여요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/jo_yeo_yo_1.png,집,동사
해동해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/hae_dong_hae_yo_.png,집,동사
헹궈요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/heng_gweo_yo_003_.png,집,동사
갈아입어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gal_a_ib_eo_yo_.png,집,동사
갈아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gal_a_ju_se_yo_001_2.png,집,동사
