text,image,카테고리_주제,카테고리_품사,실체,필요성분,명사구분,동사구분
약먹을시간이에요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yag_meog_eul_si_gan_i_e_yo_001_.png,학교,동사,0,0,0,0
약먹을시간이에요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yag_meog_eul_si_gan_i_e_yo_002_.png,학교,동사,0,0,0,0
약먹을시간이에요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yag_meog_eul_si_gan_i_e_yo_003_.png,학교,동사,0,0,0,0
약먹을시간이에요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yag_meog_eul_si_gan_i_e_yo_004_.png,학교,동사,0,0,0,0
양호실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yang_ho_sil_001_.png,학교,명사,2,0,0,0
양호실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yang_ho_sil_002_.png,학교,명사,2,0,0,0
양호실에갈래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yang_ho_sil_e_gal_rae_yo_.png,학교,동사,0,0,0,0
엘리베이터까지데려다주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/el_ri_be_i_teo_gga_ji_de_ryeo_da_ju_se_yo_.png,학교,동사,0,0,0,0
여자친구,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yeo_ja_cin_gu_001_.png,학교,명사,2,0,0,0
여자친구,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yeo_ja_cin_gu_002_.png,학교,명사,2,0,0,0
여자친구,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yeo_ja_cin_gu_201_.png,학교,명사,2,0,0,0
연필주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yeon_pil_ju_se_yo_.png,학교,동사,0,0,0,0
열심히,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yeol_sim_hi_.png,학교,부사,0,0,0,0
영어회화실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/yeong_eo_hoe_hwa_sil_.png,학교,명사,2,0,0,0
운동장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/un_dong_jang_.png,학교,명사,2,0,0,0
운동장에-나갈래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/un_dong_jang_e_na_gal_rae_yo_002_.png,학교,동사,0,0,0,0
운동장에나갈래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/un_dong_jang_e_na_gal_rae_yo_001_.png,학교,동사,0,0,0,0
운동장에나갈래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/un_dong_jang_e_na_gal_rae_yo_201_.png,학교,동사,0,0,0,0
음악실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/eum_ag_sil_.png,학교,명사,2,0,0,0
음악실,http://220.69.171.28:8080/Symbol/Symbol/additional/eum_ag_sil_.png,학교,명사,2,0,0,0
자율학습,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/ja_yul_hag_seub_001_.png,학교,명사,1,0,0,0
자율학습,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/ja_yul_hag_seub_002_.png,학교,명사,1,0,0,0
자율학습,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/ja_yul_hag_seub_003_.png,학교,명사,1,0,0,0
적어주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/jeog_eo_ju_se_yo_.png,학교,동사,0,을,0,0
졸려요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/jol_ryeo_yo_.png,학교,동사,0,0,0,0
졸려요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/jol_ryeo_yo_201_.png,학교,동사,0,0,0,0
짝꿍,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/jjag_ggung_.png,학교,명사,2,0,0,0
책상정리해주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/caeg_sang_jeong_ri_hae_ju_se_yo_.png,학교,동사,0,0,0,0
컴퓨터실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/keom_pyu_teo_sil_.png,학교,명사,2,0,0,0
컴퓨터실,http://220.69.171.28:8080/Symbol/Symbol/additional/keom_pyu_teo_sil_.png,학교,명사,2,0,0,0
학교식당,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/hag_gyo_sig_dang_.png,학교,명사,2,0,0,0
후배,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/hu_bae_.png,학교,명사,2,0,0,0
1층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n1_ceung_001_.png,학교,명사,2,0,0,0
1층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n1_ceung_002_.png,학교,명사,2,0,0,0
2층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n2_ceung_001_.png,학교,명사,2,0,0,0
2층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n2_ceung_002_.png,학교,명사,2,0,0,0
3층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n3_ceung_001_.png,학교,명사,2,0,0,0
3층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n3_ceung_002_.png,학교,명사,2,0,0,0
4층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n4_ceung_001_.png,학교,명사,2,0,0,0
4층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n4_ceung_002_.png,학교,명사,2,0,0,0
5층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n5_ceung_001_.png,학교,명사,2,0,0,0
5층,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/n5_ceung_002_.png,학교,명사,2,0,0,0
같이해요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gat_i_hae_yo_.png,학교,동사,0,을,0,0
고등학교,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/go_deung_hag_gyo_001_.png,학교,명사,2,0,0,0
고등학교,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/go_deung_hag_gyo_002_.png,학교,명사,2,0,0,0
고등학교,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/go_deung_hag_gyo_003_.png,학교,명사,2,0,0,0
