text,image,카테고리_주제,카테고리_품사,필요토큰,필요성분
동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dong_saeng_001_.png,집,명사,0,0
동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dong_saeng_002_.png,집,명사,0,0
동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dong_saeng_003_.png,집,명사,0,0
동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dong_saeng_004_.png,집,명사,0,0
동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dong_saeng_201_.png,집,명사,0,0
둘째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dul_jjae_001_.png,집,명사,0,0
둘째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dul_jjae_002_.png,집,명사,0,0
둘째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dul_jjae_003_.png,집,명사,0,0
둘째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dul_jjae_004_.png,집,명사,0,0
딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ddal_001_.png,집,명사,0,0
딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ddal_002_.png,집,명사,0,0
딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ddal_003_.png,집,명사,0,0
딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ddal_004_.png,집,명사,0,0
딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ddal_201_.png,집,명사,0,0
막내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/mag_nae_001_.png,집,명사,0,0
막내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/mag_nae_002_.png,집,명사,0,0
막내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/mag_nae_003_.png,집,명사,0,0
막내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/mag_nae_004_.png,집,명사,0,0
며느리,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/myeo_neu_ri_.png,집,0,0,0
사위,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/sa_wi_.png,집,명사,0,0
삼촌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/sam_con_001_.png,집,명사,0,0
삼촌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/sam_con_002_.png,집,명사,0,0
삼촌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/sam_con_201_.png,집,명사,0,0
셋째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ses_jjae_001_.png,집,명사,0,0
셋째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ses_jjae_002_.png,집,명사,0,0
