text,image,카테고리_주제,카테고리_품사
화장실,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/hwa_jang_sil_003_.png,집,명사
화장실,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/hwa_jang_sil_201_.png,집,명사
휴지,http://220.69.171.28:8080/Symbol/Symbol/additional/hwa_jang_ji_.png,집,명사
과도,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/gwa_do_.png,집,명사
그릇,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/geu_reus_.png,집,명사
냄비받침,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/naem_bi_bad_cim_.png,집,명사
냅킨,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/naeb_kin_.png,집,명사
다른 거,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/da_reun_geo_001_.png,집,명사
다른 거,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/da_reun_geo_002_.png,집,명사
뚜껑,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ddu_ggeong_.png,집,명사
부엌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/bu_eok_2.png,집,명사
부엌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/bu_eok_201_.png,집,명사
빨대,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/bbal_dae_2.png,집,명사
설거지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/seol_geo_ji_201_.png,집,명사
손잡이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/son_jab_i_.png,집,명사
수세미,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/su_se_mi_.png,집,명사
수세미,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/su_se_mi_201_.png,집,명사
아침,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/a_cim_.png,집,명사
쟁반,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/jaeng_ban_.png,집,명사
저녁,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/jeo_nyeog_.png,집,명사
점심,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/jeom_sim_.png,집,명사
주걱,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/ju_geog_.png,집,명사
행주,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/haeng_ju_001_.png,집,명사
행주,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n4_bu_eok_sig_gi_/haeng_ju_002_.png,집,명사
거울,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/geo_ul_2.png,집,명사
구두,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gu_du_001_.png,집,명사
구두,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gu_du_002_.png,집,명사
구두,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gu_du_201_.png,집,명사
기저귀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gi_jeo_gwi_001_.png,집,명사
기저귀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gi_jeo_gwi_002_.png,집,명사
기저귀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gi_jeo_gwi_201_.png,집,명사
긴-바지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gin_ba_ji_.png,집,명사
긴팔,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gin_pal_001_.png,집,명사
긴팔,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gin_pal_002_.png,집,명사
수영복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/nam_ja_su_yeong_bog_001_.png,집,명사
수영복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/nam_ja_su_yeong_bog_002_.png,집,명사
내복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/nae_bog_001_.png,집,명사
내복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/nae_bog_002_.png,집,명사
내복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/nae_bog_201_.png,집,명사
넥타이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/neg_ta_i_.png,집,명사
단추,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/dan_cu_.png,집,명사
단추,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/dan_cu_201_.png,집,명사
장화,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/re_in_bu_ceu_201_.png,집,명사
머리띠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/meo_ri_ddi_.png,집,명사
멜빵바지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/mel_bbang_ba_ji_.png,집,명사
목도리,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/mog_do_ri_.png,집,명사
목도리,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/mog_do_ri_201_.png,집,명사
바지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ba_ji_001_.png,집,명사
바지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ba_ji_002_.png,집,명사
반팔,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ban_pal_001_.png,집,명사
반팔,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ban_pal_002_.png,집,명사
배낭,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/bae_nang_.png,집,명사
브래지어,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/beu_rae_ji_eo_.png,집,명사
비키니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/bi_ki_ni_su_yeong_bog_.png,집,명사
서랍,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/seo_rab_.png,집,명사
서랍,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/seo_rab_201_.png,집,명사
